MONTH,country,fatalities
2023-01,Israel,0
2023-01,Palestine,39
2023-02,Israel,0
2023-02,Palestine,36
2023-03,Israel,3
2023-03,Palestine,22
2023-04,Israel,4
2023-04,Palestine,21
2023-05,Israel,3
2023-05,Palestine,54
2023-06,Israel,4
2023-06,Palestine,25
2023-07,Israel,2
2023-07,Palestine,33
2023-08,Israel,3
2023-08,Palestine,19
2023-09,Israel,1
2023-09,Palestine,24
2023-10,Israel,1738
2023-10,Palestine,9773
2023-11,Israel,11
2023-11,Palestine,5964
2023-12,Israel,4
2023-12,Palestine,7616
2024-01,Israel,4
2024-01,Palestine,4670
2024-02,Israel,5
2024-02,Palestine,3165
2024-03,Israel,8
2024-03,Palestine,2930
2024-04,Israel,3
2024-04,Palestine,1569
2024-05,Israel,10
2024-05,Palestine,2427
2024-06,Israel,5
2024-06,Palestine,2484
2024-07,Israel,7
2024-07,Palestine,2127
2024-08,Israel,9
2024-08,Palestine,2551
2024-09,Israel,12
2024-09,Palestine,1279
2024-10,Israel,30
2024-10,Palestine,2883
2024-11,Israel,6
2024-11,Palestine,2335
2024-12,Israel,1
2024-12,Palestine,1508
2025-01,Israel,3
2025-01,Palestine,926
2025-02,Israel,2
2025-02,Palestine,160
2025-03,Israel,7
2025-03,Palestine,1636
2025-04,Israel,0
2025-04,Palestine,1391
2025-05,Israel,1
2025-05,Palestine,2484
2025-06,Israel,32
2025-06,Palestine,2482
2025-07,Israel,0
2025-07,Palestine,2659
2025-08,Israel,0
2025-08,Palestine,2431
2025-09,Israel,0
2025-09,Palestine,1782
2025-10,Israel,2
2025-10,Palestine,416
2025-11,Israel,0
2025-11,Palestine,225
2025-12,Israel,0
2025-12,Palestine,22
