Country,Year,GDP_per_capita
Israel,2000,33275.1
Palestine,2000,4520.9
Israel,2001,32590.2
Palestine,2001,3996.5
Israel,2002,31897.6
Palestine,2002,3409.2
Israel,2003,31780.8
Palestine,2003,3788.9
Israel,2004,32675.2
Palestine,2004,4503.1
Israel,2005,33512.9
Palestine,2005,4885.1
Israel,2006,34770.0
Palestine,2006,4714.4
Israel,2007,36317.9
Palestine,2007,4769.5
Israel,2008,36827.9
Palestine,2008,4984.8
Israel,2009,36403.2
Palestine,2009,5270.7
Israel,2010,37722.4
Palestine,2010,5432.2
Israel,2011,39075.4
Palestine,2011,5805.3
Israel,2012,39299.4
Palestine,2012,6009.1
Israel,2013,40148.8
Palestine,2013,6142.2
Israel,2014,40872.6
Palestine,2014,5990.4
Israel,2015,40967.4
Palestine,2015,6072.7
Israel,2016,41963.7
Palestine,2016,6464.1
Israel,2017,42947.1
Palestine,2017,6426.8
Israel,2018,43814.3
Palestine,2018,6342.9
Israel,2019,44580.8
Palestine,2019,6269.9
Israel,2020,42915.9
Palestine,2020,5423.7
Israel,2021,46162.1
Palestine,2021,5663.1
Israel,2022,48098.2
Palestine,2022,5753.1
Israel,2023,47527.2
Palestine,2023,5361.1
Israel,2024,47338.8
Palestine,2024,3845.5
